keyword,total_count,pass_count,pass_rate,bayesian_pass_rate,lift,p_value,is_significant,frequency
甘肃省,208,17,0.08173076923076923,0.055124427404715334,1.488226372508089,0.09329822883256013,False,0.0007749656295291712
银行,390,27,0.06923076923076923,0.055123228509836614,1.260615280242146,0.22000798170268268,False,0.0014530605553671957
社区卫生,118,12,0.1016949152542373,0.05512298806657788,1.851751259112757,0.03920224616488085,True,0.00043964396290597206
集团公司,245,19,0.07755102040816327,0.05512296519462874,1.4121177969152383,0.12200388697878914,False,0.0009128200924742641
宠物,82,10,0.12195121951219512,0.05512240963676412,2.2205960221067613,0.014339145204076035,True,0.0003055152962566925
达欣,10,6,0.6,0.05512124812382914,10.925332428765264,4.752159805782627e-06,True,3.725796295813323e-05
温州市,210,17,0.08095238095238096,0.055120351646401645,1.474052788008012,0.09636618857306165,False,0.0007824172221207978
饶阳县,11,6,0.5454545454545454,0.055119195259749204,9.932120389786604,9.964670925416686e-06,True,4.098375925394655e-05
水利局,66,9,0.13636363636363635,0.055118022441174606,2.483030097446651,0.00983818769687138,True,0.0002459025555236793
山区,66,9,0.13636363636363635,0.055118022441174606,2.483030097446651,0.00983818769687138,True,0.0002459025555236793
行政,175,15,0.08571428571428572,0.05511773132604599,1.560761775537895,0.09323433311181248,False,0.0006520143517673314
住房,157,14,0.08917197452229299,0.05511743940971,1.623722441642396,0.0759878112929088,False,0.0005849500184426917
天然气,157,14,0.08917197452229299,0.05511743940971,1.623722441642396,0.0759878112929088,False,0.0005849500184426917
中医医院,139,13,0.09352517985611511,0.05511714710384782,1.7029894673135306,0.05909126662264308,False,0.0005178856851180519
宜昌,121,12,0.09917355371900827,0.055116854407679265,1.8058400708702917,0.04316806501830754,True,0.00045082135179341207
第三,321,23,0.07165109034267912,0.055115993947181426,1.3046866347954365,0.17815865112974627,False,0.0011959806109560767
新世纪,67,9,0.13432835820895522,0.05511597396950224,2.4459699467384923,0.010824139260751769,True,0.0002496283518194926
北京华,67,9,0.13432835820895522,0.05511597396950224,2.4459699467384923,0.010824139260751769,True,0.0002496283518194926
岩土,49,8,0.16326530612244897,0.055115679704264585,2.972879572453133,0.004940750295456263,True,0.0001825640184948528
四川省,431,29,0.06728538283062645,0.05511369261740536,1.2251919583688813,0.24503917016706933,False,0.001605818203495542
海南,540,35,0.06481481481481481,0.05511342262024332,1.180205663601186,0.2986790690101647,False,0.002011929999739194
证券,159,14,0.0880503144654088,0.05511335647007841,1.6032982599865169,0.07869210278628018,False,0.0005924016110343183
建工,504,33,0.06547619047619048,0.05511284052384627,1.192248578535892,0.282252228856128,False,0.0018778013330899147
自动化,269,20,0.07434944237918216,0.05511105208990405,1.3538206231431555,0.17814689481614282,False,0.0010022392035737837
杭州市,197,16,0.08121827411167512,0.05510986836508623,1.478894406601051,0.11525503215055224,False,0.0007339818702752246
航空,306,22,0.0718954248366013,0.055109611396196106,1.3091356940786265,0.207233621101383,False,0.0011400936665188768
贝尔,34,7,0.20588235294117646,0.05510923237788337,3.748888578497885,0.0021773796302118355,True,0.00012667707405765298
美容,651,41,0.0629800307219662,0.05510914520805066,1.1467962866855501,0.3443469272117885,False,0.002425493388574473
市场,506,33,0.06521739130434782,0.05510880973016064,1.1875361335614418,0.32781813539118976,False,0.0018852529256815412
顾问,162,14,0.08641975308641975,0.05510723319470111,1.573607551468248,0.0835126218326029,False,0.0006035789999217583
自贡市,35,7,0.2,0.055107181794164815,3.6417774762550885,0.0025941051804505948,True,0.0001304028703534663
恩施,35,7,0.2,0.055107181794164815,3.6417774762550885,0.0025941051804505948,True,0.0001304028703534663
锡山区,18,6,0.3333333333333333,0.055104829491509015,6.0696291270918135,0.0002865428447508303,True,6.706433332463982e-05
器材,127,12,0.09448818897637795,0.05510459118400706,1.7205247919315378,0.07435421731414754,False,0.000473176129568292
勘察,109,11,0.10091743119266056,0.055104289971019224,1.8375941393947695,0.053033626162102,False,0.0004061117962436522
高级中学,91,10,0.10989010989010989,0.05510398835538359,2.0009766353049936,0.03360405695281255,True,0.00033904746291901235
